"","Selection","View","Channel","Begin_Time","End_Time","Low_Freq","High_Freq","Begin_Date","Begin_Clock","End_Clock","Delta_Time_s","Behavior","Partial","Notes","Begin_file_date","Dep","Site_ID","DeltaHours","Hr_time","Hr_local","Begin_Hour_loc","Begin_Date_loc","Weekday"
"22",1,"Spectrogram 1",1,58273.832578973,63058.669668481,19.572,3601.253,2023-07-14,18:42:39,20:02:24,4784.8371,"Transit",NA,NA,"2023/7/14","202306","ABW",1.32912141666667,2023-07-14 18:42:39,2023-07-15 02:42:39,2,2023-07-15,"Saturday"
"23",1,"Spectrogram 1",1,72101.801140955,77678.124414699,31.043,1627.282,2023-07-15,22:32:55,00:05:52,5576.3233,"Transit",NA,NA,"2023/7/15","202306","ABW",1.54897869444444,2023-07-15 22:32:55,2023-07-16 06:32:55,6,2023-07-16,"Sunday"
"24",2,"Spectrogram 1",1,79769.807677284,81761.92080523,23.414,9295.41,2023-07-16,00:40:43,01:13:55,1992.1131,"Transit",NA,"LTSA","2023/7/15","202306","ABW",0.55336475,2023-07-16 00:40:43,2023-07-16 08:40:43,8,2023-07-16,"Sunday"
"25",1,"Spectrogram 1",1,24631.676465533,28369.705877757,34.602,16946.943,2023-07-16,09:21:36,10:23:54,3738.0294,"Maneuver",NA,"LTSA","2023/7/16","202306","ABW",1.0383415,2023-07-16 09:21:36,2023-07-16 17:21:36,17,2023-07-16,"Sunday"
"26",2,"Spectrogram 1",1,27595.79977887,41056.843876143,33.031,4650.519,2023-07-16,10:11:00,13:55:21,13461.0441,"Transit",NA,NA,"2023/7/16","202306","ABW",3.73917891666667,2023-07-16 10:11:00,2023-07-16 18:11:00,18,2023-07-16,"Sunday"
"27",3,"Spectrogram 1",1,41395.776015,42944.377811923,433.072,664.289,2023-07-16,14:01:00,14:26:49,1548.6018,"Transit",NA,NA,"2023/7/16","202306","ABW",0.430167166666667,2023-07-16 14:01:00,2023-07-16 22:01:00,22,2023-07-16,"Sunday"
"28",1,"Spectrogram 1",1,6559.287129972,8145.948277968,29.524,14475.874,2023-07-17,04:20:16,04:46:42,1586.6611,"Transit",NA,NA,"2023/7/17","202306","ABW",0.440739194444444,2023-07-17 04:20:16,2023-07-17 12:20:16,12,2023-07-17,"Monday"
"29",2,"Spectrogram 1",1,15250.551889968,18513.373510656,24.958,10848.586,2023-07-17,06:45:07,07:39:30,3262.8216,"Maneuver",NA,NA,"2023/7/17","202306","ABW",0.906339333333333,2023-07-17 06:45:07,2023-07-17 14:45:07,14,2023-07-17,"Monday"
"30",3,"Spectrogram 1",1,68088.831556337,75032.820998524,29.118,1364.798,2023-07-17,21:25:42,23:21:26,6943.9894,"Transit",NA,NA,"2023/7/17","202306","ABW",1.92888594444444,2023-07-17 21:25:42,2023-07-18 05:25:42,5,2023-07-18,"Tuesday"
"31",1,"Spectrogram 1",1,32980.724661358,39682.351752033,38.085,1980.407,2023-07-18,11:40:25,13:32:07,6701.6271,"Transit",NA,NA,"2023/7/18","202306","ABW",1.86156308333333,2023-07-18 11:40:25,2023-07-18 19:40:25,19,2023-07-18,"Tuesday"
"32",1,"Spectrogram 1",1,17684.714709887,19774.991266794,18.453,3159.099,2023-07-19,07:25:22,08:00:12,2090.2766,"Transit",NA,NA,"2023/7/19","202306","ABW",0.580632388888889,2023-07-19 07:25:22,2023-07-19 15:25:22,15,2023-07-19,"Wednesday"
"33",2,"Spectrogram 1",1,63665.645112091,68583.594142053,31.315,3736.952,2023-07-19,20:11:41,21:33:37,4917.949,"Transit",NA,NA,"2023/7/19","202306","ABW",1.36609694444444,2023-07-19 20:11:41,2023-07-20 04:11:41,4,2023-07-20,"Thursday"
"34",3,"Spectrogram 1",1,83319.658157771,86395.986645833,14.762,2708.854,2023-07-20,01:39:13,02:30:29,3076.3285,"Transit","Y",NA,"2023/7/19","202306","ABW",0.854535694444444,2023-07-20 01:39:13,2023-07-20 09:39:13,9,2023-07-20,"Thursday"
"35",1,"Spectrogram 1",1,11258.360469987,12871.586694091,132.859,9418.249,2023-07-20,05:38:07,06:05:00,1613.2262,"Maneuver",NA,NA,"2023/7/20","202306","ABW",0.448118388888889,2023-07-20 05:38:07,2023-07-20 13:38:07,13,2023-07-20,"Thursday"
"36",1,"Spectrogram 1",1,75066.442507121,77136.520802038,20.877,2505.219,2023-07-25,23:20:47,23:55:18,2070.0783,"Transit",NA,NA,"2023/7/25","202306","ABW",0.57502175,2023-07-25 23:20:47,2023-07-26 07:20:47,7,2023-07-26,"Wednesday"
"37",1,"Spectrogram 1",1,57729.118079967,67158.343682088,29.524,4530.271,2023-07-26,18:31:43,21:08:51,9429.2256,"Transit",NA,NA,"2023/7/26","202306","ABW",2.61922933333333,2023-07-26 18:31:43,2023-07-27 02:31:43,2,2023-07-27,"Thursday"
"38",1,"Spectrogram 1",1,22747.799862065,30293.809186361,46.973,2664.567,2023-07-27,08:48:35,10:54:21,7546.0093,"Transit",NA,NA,"2023/7/27","202306","ABW",2.09611369444444,2023-07-27 08:48:35,2023-07-27 16:48:35,16,2023-07-27,"Thursday"
"39",1,"Spectrogram 1",1,1586.513359268,9796.948402786,31.315,6908.684,2023-07-29,02:55:39,05:12:29,8210.435,"Transit",NA,NA,"2023/7/29","202306","ABW",2.28067638888889,2023-07-29 02:55:39,2023-07-29 10:55:39,10,2023-07-29,"Saturday"
"40",1,"Spectrogram 1",1,61112.323172804,64043.382839963,18.267,16325.678,2023-08-01,19:27:19,20:16:10,2931.0597,"Transit",NA,NA,"2023/8/1","202306","ABW",0.81418325,2023-08-01 19:27:19,2023-08-02 03:27:19,3,2023-08-02,"Wednesday"
"41",2,"Spectrogram 1",1,78088.459901362,80952.497198545,15.658,18538.622,2023-08-02,00:10:14,00:57:58,2864.0373,"Transit",NA,NA,"2023/8/1","202306","ABW",0.795565916666667,2023-08-02 00:10:14,2023-08-02 08:10:14,8,2023-08-02,"Wednesday"
"42",1,"Spectrogram 1",1,54273.291478532,57343.999979167,25.052,2029.228,2023-08-02,17:33:11,18:24:22,3070.7085,"Transit",NA,NA,"2023/8/2","202306","ABW",0.852974583333333,2023-08-02 17:33:11,2023-08-03 01:33:11,1,2023-08-03,"Thursday"
"43",2,"Spectrogram 1",1,71600.037276349,74877.865738476,26.572,1620.884,2023-08-02,22:21:56,23:16:34,3277.8285,"Transit",NA,NA,"2023/8/2","202306","ABW",0.910507916666667,2023-08-02 22:21:56,2023-08-03 06:21:56,6,2023-08-03,"Thursday"
"44",1,"Spectrogram 1",1,22921.185817071,28038.156610667,20.877,3365.769,2023-08-03,08:50:29,10:15:46,5116.9708,"Transit",NA,NA,"2023/8/3","202306","ABW",1.42138077777778,2023-08-03 08:50:29,2023-08-03 16:50:29,16,2023-08-03,"Thursday"
"45",2,"Spectrogram 1",1,52289.891850671,54598.51396561,25.834,2066.7,2023-08-03,16:59:57,17:38:26,2308.6221,"Transit",NA,NA,"2023/8/3","202306","ABW",0.641283916666667,2023-08-03 16:59:57,2023-08-04 00:59:57,0,2023-08-04,"Friday"
