"","Begin_Date","Begin_Hour","Transit"
"228",2023-07-06,11,0
"229",2023-07-06,12,0
"230",2023-07-06,13,0
"231",2023-07-06,14,0
"232",2023-07-06,15,0
"233",2023-07-06,16,0
"234",2023-07-06,17,0
"235",2023-07-06,18,0
"236",2023-07-06,19,0
"237",2023-07-06,20,0
"238",2023-07-06,21,0
"239",2023-07-06,22,0
"240",2023-07-06,23,0
"241",2023-07-07,0,0
"242",2023-07-07,1,0
"243",2023-07-07,2,0
"244",2023-07-07,3,0
"245",2023-07-07,4,0
"246",2023-07-07,5,0
"247",2023-07-07,6,0
"248",2023-07-07,7,0
"249",2023-07-07,8,0
"250",2023-07-07,9,0
"251",2023-07-07,10,0
"252",2023-07-07,11,0
"253",2023-07-07,12,0
"254",2023-07-07,13,0
"255",2023-07-07,14,0
"256",2023-07-07,15,0
"257",2023-07-07,16,0
"258",2023-07-07,17,0
"259",2023-07-07,18,0
"260",2023-07-07,19,0
"261",2023-07-07,20,0
"262",2023-07-07,21,0
"263",2023-07-07,22,0
"264",2023-07-07,23,0
"265",2023-07-08,0,0
"266",2023-07-08,1,0
"267",2023-07-08,2,0
"268",2023-07-08,3,0
"269",2023-07-08,4,0
"270",2023-07-08,5,0
"271",2023-07-08,6,0
"272",2023-07-08,7,0
"273",2023-07-08,8,0
"274",2023-07-08,9,0
"275",2023-07-08,10,0
"276",2023-07-08,11,0
"277",2023-07-08,12,0
"278",2023-07-08,13,0
"279",2023-07-08,14,0
"280",2023-07-08,15,0
"281",2023-07-08,16,0
"282",2023-07-08,17,0
"283",2023-07-08,18,0
"284",2023-07-08,19,0
"285",2023-07-08,20,0
"286",2023-07-08,21,0
"287",2023-07-08,22,0
"288",2023-07-08,23,0
"289",2023-07-09,0,0
"290",2023-07-09,1,0
"291",2023-07-09,2,0
"292",2023-07-09,3,0
"293",2023-07-09,4,0
"294",2023-07-09,5,0
"295",2023-07-09,6,0
"296",2023-07-09,7,0
"297",2023-07-09,8,0
"298",2023-07-09,9,0
"299",2023-07-09,10,0
"300",2023-07-09,11,0
"301",2023-07-09,12,0
"302",2023-07-09,13,0
"303",2023-07-09,14,0
"304",2023-07-09,15,0
"305",2023-07-09,16,0
"306",2023-07-09,17,0
"307",2023-07-09,18,0
"308",2023-07-09,19,0
"309",2023-07-09,20,0
"310",2023-07-09,21,0
"311",2023-07-09,22,0
"312",2023-07-09,23,0
"313",2023-07-10,0,0
"314",2023-07-10,1,0
"315",2023-07-10,2,0
"316",2023-07-10,3,0
"317",2023-07-10,4,0
"318",2023-07-10,5,0
"319",2023-07-10,6,0
"320",2023-07-10,7,0
"321",2023-07-10,8,0
"322",2023-07-10,9,0
"323",2023-07-10,10,0
"324",2023-07-10,11,0
"325",2023-07-10,12,0
"326",2023-07-10,13,0
"327",2023-07-10,14,0
"328",2023-07-10,15,0
"329",2023-07-10,16,0
"330",2023-07-10,17,0
"331",2023-07-10,18,0
"332",2023-07-10,19,0
"333",2023-07-10,20,0
"334",2023-07-10,21,0
"335",2023-07-10,22,0
"336",2023-07-10,23,0
"337",2023-07-11,0,0
"338",2023-07-11,1,0
"339",2023-07-11,2,0
"340",2023-07-11,3,0
"341",2023-07-11,4,1
"342",2023-07-11,5,0
"343",2023-07-11,6,0
"344",2023-07-11,7,1
"345",2023-07-11,8,0
"346",2023-07-11,9,0
"347",2023-07-11,10,0
"348",2023-07-11,11,0
"349",2023-07-11,12,0
"350",2023-07-11,13,0
"351",2023-07-11,14,0
"352",2023-07-11,15,0
"353",2023-07-11,16,0
"354",2023-07-11,17,0
"355",2023-07-11,18,0
"356",2023-07-11,19,0
"357",2023-07-11,20,0
"358",2023-07-11,21,0
"359",2023-07-11,22,0
"360",2023-07-11,23,0
"361",2023-07-12,0,0
"362",2023-07-12,1,0
"363",2023-07-12,2,0
"364",2023-07-12,3,0
"365",2023-07-12,4,0
"366",2023-07-12,5,0
"367",2023-07-12,6,0
"368",2023-07-12,7,0
"369",2023-07-12,8,0
"370",2023-07-12,9,0
"371",2023-07-12,10,0
"372",2023-07-12,11,0
"373",2023-07-12,12,0
"374",2023-07-12,13,0
"375",2023-07-12,14,0
"376",2023-07-12,15,0
"377",2023-07-12,16,0
"378",2023-07-12,17,0
"379",2023-07-12,18,0
"380",2023-07-12,19,0
"381",2023-07-12,20,0
"382",2023-07-12,21,0
"383",2023-07-12,22,0
"384",2023-07-12,23,0
"385",2023-07-13,0,0
"386",2023-07-13,1,0
"387",2023-07-13,2,0
"388",2023-07-13,3,1
"389",2023-07-13,4,0
"390",2023-07-13,5,0
"391",2023-07-13,6,0
"392",2023-07-13,7,0
"393",2023-07-13,8,0
"394",2023-07-13,9,0
"395",2023-07-13,10,0
"396",2023-07-13,11,0
"397",2023-07-13,12,0
"398",2023-07-13,13,0
"399",2023-07-13,14,0
"400",2023-07-13,15,0
"401",2023-07-13,16,0
"402",2023-07-13,17,0
"403",2023-07-13,18,0
"404",2023-07-13,19,0
"405",2023-07-13,20,0
"406",2023-07-13,21,0
"407",2023-07-13,22,0
"408",2023-07-13,23,0
"409",2023-07-14,0,0
"410",2023-07-14,1,0
"411",2023-07-14,2,0
"412",2023-07-14,3,0
"413",2023-07-14,4,0
"414",2023-07-14,5,0
"415",2023-07-14,6,0
"416",2023-07-14,7,0
"417",2023-07-14,8,0
"418",2023-07-14,9,0
"419",2023-07-14,10,0
"420",2023-07-14,11,0
"421",2023-07-14,12,0
"422",2023-07-14,13,0
"423",2023-07-14,14,0
"424",2023-07-14,15,0
"425",2023-07-14,16,0
"426",2023-07-14,17,0
"427",2023-07-14,18,0
"428",2023-07-14,19,0
"429",2023-07-14,20,0
"430",2023-07-14,21,0
"431",2023-07-14,22,0
"432",2023-07-14,23,0
"433",2023-07-15,0,0
"434",2023-07-15,1,0
"435",2023-07-15,2,0
"436",2023-07-15,3,0
"437",2023-07-15,4,0
"438",2023-07-15,5,0
"439",2023-07-15,6,0
"440",2023-07-15,7,0
"441",2023-07-15,8,0
"442",2023-07-15,9,0
"443",2023-07-15,10,0
"444",2023-07-15,11,0
"445",2023-07-15,12,0
"446",2023-07-15,13,0
"447",2023-07-15,14,0
"448",2023-07-15,15,0
"449",2023-07-15,16,0
"450",2023-07-15,17,0
"451",2023-07-15,18,0
"452",2023-07-15,19,0
"453",2023-07-15,20,0
"454",2023-07-15,21,0
"455",2023-07-15,22,0
"456",2023-07-15,23,0
"457",2023-07-16,0,0
"458",2023-07-16,1,0
"459",2023-07-16,2,0
"460",2023-07-16,3,0
"461",2023-07-16,4,0
"462",2023-07-16,5,0
"463",2023-07-16,6,0
"464",2023-07-16,7,0
"465",2023-07-16,8,0
"466",2023-07-16,9,0
"467",2023-07-16,10,1
"468",2023-07-16,11,0
"469",2023-07-16,12,0
"470",2023-07-16,13,0
"471",2023-07-16,14,0
"472",2023-07-16,15,0
"473",2023-07-16,16,0
"474",2023-07-16,17,0
"475",2023-07-16,18,0
"476",2023-07-16,19,0
"477",2023-07-16,20,0
"478",2023-07-16,21,0
"479",2023-07-16,22,0
"480",2023-07-16,23,0
"481",2023-07-17,0,0
"482",2023-07-17,1,0
"483",2023-07-17,2,0
"484",2023-07-17,3,0
"485",2023-07-17,4,0
"486",2023-07-17,5,0
"487",2023-07-17,6,0
"488",2023-07-17,7,0
"489",2023-07-17,8,0
"490",2023-07-17,9,0
"491",2023-07-17,10,0
"492",2023-07-17,11,0
"493",2023-07-17,12,0
"494",2023-07-17,13,0
"495",2023-07-17,14,0
"496",2023-07-17,15,0
"497",2023-07-17,16,0
"498",2023-07-17,17,0
"499",2023-07-17,18,0
"500",2023-07-17,19,0
"501",2023-07-17,20,0
"502",2023-07-17,21,0
"503",2023-07-17,22,0
"504",2023-07-17,23,0
"505",2023-07-18,0,0
"506",2023-07-18,1,0
"507",2023-07-18,2,0
"508",2023-07-18,3,0
"509",2023-07-18,4,0
"510",2023-07-18,5,0
"511",2023-07-18,6,0
"512",2023-07-18,7,0
"513",2023-07-18,8,0
"514",2023-07-18,9,0
"515",2023-07-18,10,0
"516",2023-07-18,11,0
"517",2023-07-18,12,0
"518",2023-07-18,13,0
"519",2023-07-18,14,0
"520",2023-07-18,15,0
"521",2023-07-18,16,0
"522",2023-07-18,17,0
"523",2023-07-18,18,0
"524",2023-07-18,19,0
"525",2023-07-18,20,0
"526",2023-07-18,21,0
"527",2023-07-18,22,0
"528",2023-07-18,23,0
"529",2023-07-19,0,0
"530",2023-07-19,1,0
"531",2023-07-19,2,0
"532",2023-07-19,3,0
"533",2023-07-19,4,0
"534",2023-07-19,5,0
