"PeakFreq","PeakLev","RMS","Filename","Distance","Calibration","FreqMin","FreqMax"
20,78.4193951422282,102.752763972336,"805568538.230711011024_sel01_S1.wav",NA,-172.4,20,5000
641,78.3047235745634,102.359538776366,"805568538.230711011024_sel02_S1.wav",NA,-172.4,20,5000
23,75.9935271662336,103.361967410196,"805568538.230711011024_sel03_S1.wav",NA,-172.4,20,5000
918,75.6275305235044,103.157186873846,"805568538.230711011024_sel04_S1.wav",NA,-172.4,20,5000
29,90.6537572810146,109.515297560013,"805568538.230711011024_sel05_S1.wav",NA,-172.4,20,5000
352,81.7989424138069,105.069718260696,"805568538.230711011024_sel06_S1.wav",NA,-172.4,20,5000
271,82.2915256868081,102.811237635363,"805568538.230711011024_sel07_S1.wav",NA,-172.4,20,5000
251,81.6857836253247,104.816974773609,"805568538.230713011008_sel01_S1.wav",NA,-172.4,20,5000
89,84.069106762237,105.084982823605,"805568538.230713011008_sel02_S1.wav",NA,-172.4,20,5000
1537,80.8093622852748,105.151560308807,"805568538.230713011008_sel03_S1.wav",NA,-172.4,20,5000
336,82.9457312613791,104.781598899678,"805568538.230713011008_sel04_S1.wav",NA,-172.4,20,5000
174,77.6801543424749,103.328985854615,"805568538.230713011008_sel05_S1.wav",NA,-172.4,20,5000
559,80.7457922905669,105.320194867995,"805568538.230713011008_sel06_S1.wav",NA,-172.4,20,5000
350,81.7116734317431,105.152008479769,"805568538.230713011008_sel07_S1.wav",NA,-172.4,20,5000
322,90.3661072526931,105.945420760278,"805568538.230716010939_sel01_S1.wav",NA,-172.4,20,5000
223,83.9159744022172,106.650553917281,"805568538.230716010939_sel02_S1.wav",NA,-172.4,20,5000
282,85.8595542975485,107.27268134061,"805568538.230716010939_sel03_S1.wav",NA,-172.4,20,5000
321,85.0177265155884,106.603047480635,"805568538.230716010939_sel04_S1.wav",NA,-172.4,20,5000
302,85.9895366996476,106.868124518873,"805568538.230716010939_sel05_S1.wav",NA,-172.4,20,5000
343,91.918625125318,107.758046686849,"805568538.230716010939_sel06_S1.wav",NA,-172.4,20,5000
334,88.7243468387795,107.341124690035,"805568538.230716010939_sel07_S1.wav",NA,-172.4,20,5000
183,94.4617509608862,107.830205349359,"805568538.230716010939_sel08_S1.wav",NA,-172.4,20,5000
270,88.1612897102816,107.268392299306,"805568538.230716010939_sel09_S1.wav",NA,-172.4,20,5000
573,83.2214465663354,106.623413838464,"805568538.230811010535_sel01_S1.wav",NA,-172.4,20,5000
312,86.5809319696509,105.915802561399,"805568538.230811010535_sel02_S1.wav",NA,-172.4,20,5000
25,101.679634362609,113.726120103414,"805830683.230714023128_sel01_S1.wav",NA,-172.4,20,5000
37,101.214185669101,113.920886314042,"805830683.230714023128_sel02_S1.wav",NA,-172.4,20,5000
