"PeakFreq","PeakLev","RMS","Filename","Distance","Calibration","FreqMin","FreqMax"
279,99.6821414963667,120.924859605198,"805830683.230627023433_sel5239_241.770071654771.wav",241.770071654771,-172.7,20,5000
124,99.5042730143637,120.453490069388,"805830683.230627023433_sel5250_243.598083414112.wav",243.598083414112,-172.7,20,5000
293,99.5633539059082,121.165245971536,"805830683.230627023433_sel5261_255.024991515637.wav",255.024991515637,-172.7,20,5000
301,98.7757369027681,120.108017759916,"805830683.230627023433_sel5272_256.324101710816.wav",256.324101710816,-172.7,20,5000
301,98.902983800397,119.649764951817,"805830683.230627023433_sel5284_247.930077526615.wav",247.930077526615,-172.7,20,5000
125,98.0817705145364,119.341940402853,"805830683.230627023433_sel5295_269.396924634707.wav",269.396924634707,-172.7,20,5000
142,99.3382014880541,118.332626035137,"805830683.230627023433_sel5306_287.371636340285.wav",287.371636340285,-172.7,20,5000
169,97.4789565570104,118.234189466443,"805830683.230627023433_sel5318_293.345070194091.wav",293.345070194091,-172.7,20,5000
156,98.2776004732311,118.617073735106,"805830683.230627023433_sel5329_289.466474365567.wav",289.466474365567,-172.7,20,5000
147,99.2942437258815,118.841321223086,"805830683.230627023433_sel5340_291.432931753513.wav",291.432931753513,-172.7,20,5000
150,97.6153163100316,119.006313398781,"805830683.230627023433_sel5352_286.784157697278.wav",286.784157697278,-172.7,20,5000
318,96.4348863647793,118.983236680353,"805830683.230627023433_sel5363_272.947754938532.wav",272.947754938532,-172.7,20,5000
135,96.8574232154312,119.143513918017,"805830683.230627023433_sel5374_271.591681737124.wav",271.591681737124,-172.7,20,5000
126,100.365048339492,120.350715123799,"805830683.230627023433_sel5386_266.488390905618.wav",266.488390905618,-172.7,20,5000
125,102.922798987507,120.887829951684,"805830683.230627023433_sel5397_251.299575311374.wav",251.299575311374,-172.7,20,5000
259,101.904711173296,121.527263570013,"805830683.230627023433_sel5408_228.507146755461.wav",228.507146755461,-172.7,20,5000
250,101.686753335599,121.826920867426,"805830683.230627023433_sel5420_212.178267546096.wav",212.178267546096,-172.7,20,5000
287,100.512002835685,121.111807366892,"805830683.230627023433_sel5431_227.215156402445.wav",227.215156402445,-172.7,20,5000
288,99.0008418049844,120.883968858426,"805830683.230627023433_sel5442_240.046865225287.wav",240.046865225287,-172.7,20,5000
141,100.305333328715,121.489886156326,"805830683.230627023433_sel5454_241.598360449172.wav",241.598360449172,-172.7,20,5000
311,100.26872903516,121.240848650659,"805830683.230627023433_sel5455_244.041068921749.wav",244.041068921749,-172.7,20,5000
311,100.041856621701,120.841607133,"805830683.230627023433_sel5457_249.251366492249.wav",249.251366492249,-172.7,20,5000
311,99.5104143277707,120.543314548769,"805830683.230627023433_sel5459_254.350423006257.wav",254.350423006257,-172.7,20,5000
328,98.684147545912,119.820965183894,"805830683.230627023433_sel5461_263.092445475419.wav",263.092445475419,-172.7,20,5000
160,97.1834554510179,119.174890305806,"805830683.230627023433_sel5463_271.578194376074.wav",271.578194376074,-172.7,20,5000
160,97.4781518373126,119.082080082424,"805830683.230627023433_sel5465_282.178223819624.wav",282.178223819624,-172.7,20,5000
160,97.7019255347732,118.883993812313,"805830683.230627023433_sel5467_292.638281797408.wav",292.638281797408,-172.7,20,5000
160,98.2599888141338,118.497276592535,"805830683.230627023433_sel5469_304.181715340026.wav",304.181715340026,-172.7,20,5000
124,98.1212615318797,118.275239667917,"805830683.230627023433_sel5471_316.477292615252.wav",316.477292615252,-172.7,20,5000
157,99.1866235247545,118.136926822735,"805830683.230627023433_sel5473_329.588351226571.wav",329.588351226571,-172.7,20,5000
157,99.3372489804636,117.922046150621,"805830683.230627023433_sel5476_349.09419482476.wav",349.09419482476,-172.7,20,5000
157,99.3188337585158,117.462577124623,"805830683.230627023433_sel5478_361.797751237026.wav",361.797751237026,-172.7,20,5000
157,98.8422493198392,117.060766348675,"805830683.230627023433_sel5480_373.06415589791.wav",373.06415589791,-172.7,20,5000
160,96.8221858012318,116.178811778301,"805830683.230627023433_sel5482_383.298184518537.wav",383.298184518537,-172.7,20,5000
185,93.9140400149599,115.482294509106,"805830683.230627023433_sel5484_393.340613055711.wav",393.340613055711,-172.7,20,5000
197,95.7800413330391,115.797771661633,"805830683.230627023433_sel5486_412.148183303461.wav",412.148183303461,-172.7,20,5000
197,96.2372206116913,116.455540811417,"805830683.230627023433_sel5488_426.862125901803.wav",426.862125901803,-172.7,20,5000
206,97.0741495215725,117.468066121815,"805830683.230627023433_sel5490_441.52078018104.wav",441.52078018104,-172.7,20,5000
212,97.7675521347928,117.823755143575,"805830683.230627023433_sel5492_460.763860057193.wav",460.763860057193,-172.7,20,5000
212,96.6983805868995,117.770349231176,"805830683.230627023433_sel5495_475.516731586638.wav",475.516731586638,-172.7,20,5000
212,96.8662869703548,117.893668513629,"805830683.230627023433_sel5496_483.117000163733.wav",483.117000163733,-172.7,20,5000
126,94.873183947327,115.250033934712,"805830683.230627023433_sel5518_499.333360765441.wav",499.333360765441,-172.7,20,5000
209,96.5767091637584,114.994995657412,"805830683.230627023433_sel5541_492.005817768649.wav",492.005817768649,-172.7,20,5000
151,97.398738716569,114.947381559919,"805830683.230627023433_sel5564_516.917221762974.wav",516.917221762974,-172.7,20,5000
153,95.6624955539248,114.190726566944,"805830683.230627023433_sel5586_557.053193980615.wav",557.053193980615,-172.7,20,5000
249,93.343094196141,114.492543493083,"805830683.230627023433_sel5609_548.137796882365.wav",548.137796882365,-172.7,20,5000
243,97.5779890261107,114.781540320297,"805830683.230627023433_sel5632_509.769960027882.wav",509.769960027882,-172.7,20,5000
