term,estimate,std.error,statistic,p.value,Dep_ID,depth_m
SL,152.22881525630862,6.897239701503052,22.07097648398892,4.1143512207861934e-47,ABW_D1,165
loss_geo,20.868904634861657,3.0254567886867196,6.897769855083722,1.7430957584698912e-10,ABW_D1,165
loss_abs,0,0.0023305402124638693,0,1,ABW_D1,165
