Filename,Date,Selection,RMS,PeakFreq,PeakLev,Verified,used,ins_sm,out_sm,ins_med,out_med,ins_lg,out_lg,pins_sm,pins_med,pins_lg,pins_ovrll,begin_file_date,seln_num,View,Channel,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_Date,Begin_Clock,End_Clock,Delta_Time_s,Behavior,Notes,Dep,Site_ID,DeltaHours,Hr_time,Hr_local,Begin_Hour_loc,Begin_Date_loc,Weekday
805355546.180727024048_sel12_S27.wav,180727000000,S27,122.2012783,81,116.0913424,1,1,5,0,33,0,42,0,1,1,1,1,2018-07-27,27,Spectrogram 1,1,115913.57662757,116229.299256265,0,9782.6,2018-07-28,10:52:36,10:57:51,315.7226,Transit,NA,D1_201807,CG,0.08770072222222222,2018-07-28T00:52:36Z,2018-07-28T00:52:36Z,10,2018-07-28,Saturday
805355546.180727024048_sel17_S31.wav,180727000000,S31,120.5486651,123,107.0376927,1,1,13,0,62,0,22,36,1,1,0.3793103448275862,1,2018-07-27,31,Spectrogram 1,1,121001.795616758,121351.153265557,97.3,10097.3,2018-07-28,12:17:24,12:23:13,349.3576,Transit,NA,D1_201807,CG,0.09704377777777777,2018-07-28T02:17:24Z,2018-07-28T02:17:24Z,12,2018-07-28,Saturday
805355546.180802023946_sel05_S9.wav,180802000000,S9,121.8346141,2504,99.47388086,1,1,27,0,69,20,0,50,1,0.7752808988764045,0,0.8275862068965517,2018-08-02,9,Spectrogram 1,1,65379.48175038,65584.839409596,517.9,9840.6,2018-08-02,20:49:22,20:52:47,205.3577,Transit,NA,D1_201807,CG,0.057043805555555556,2018-08-02T10:49:22Z,2018-08-02T10:49:22Z,20,2018-08-02,Thursday
805355546.180802023946_sel16_S27.wav,180802000000,S27,108.3858071,226,97.95146698,1,1,30,0,65,30,0,40,1,0.6842105263157895,0,0.76,2018-08-02,27,Spectrogram 1,1,224281.160562865,225921.788297704,278.9,3685.3,2018-08-04,16:57:35,17:24:56,1640.6277,Maneuver+TransitA,NA,D1_201807,CG,0.4557299166666667,2018-08-04T06:57:35Z,2018-08-04T06:57:35Z,16,2018-08-04,Saturday
805355546.180705024418_sel02_S11.wav,180705000000,S11,127.1104212,298,117.5219512,1,1,4,0,30,0,39,0,1,1,1,1,2018-07-05,11,Spectrogram 1,1,34296.240855931,34920.065676247,0,9541.833,2018-07-05,12:15:53,12:26:16,623.8248,Maneuver+Transit,NA,D1_201807,CG,0.17328466666666667,2018-07-05T02:15:53Z,2018-07-05T02:15:53Z,12,2018-07-05,Thursday
805355546.180707024358_sel18_S10.wav,180707000000,S10,123.0173926,160,110.3184173,1,1,9,0,51,0,37,15,1,1,0.7115384615384616,1,2018-07-07,10,Spectrogram 1,1,130012.233565967,131117.197072977,19.92,7111.554,2018-07-08,14:50:42,15:09:07,1104.9635,Maneuver+Transit,on/off,D1_201807,CG,0.30693430555555556,2018-07-08T04:50:42Z,2018-07-08T04:50:42Z,14,2018-07-08,Sunday
805355546.180707024358_sel12_S2.wav,180707000000,S2,128.9282705,257,114.221304,1,1,6,0,38,0,46,0,1,1,1,1,2018-07-07,2,Spectrogram 1,1,14128.948901064,16396.817514218,0,7920.8,2018-07-07,06:39:26,07:17:14,2267.8686,Maneuver+Transit,multiple CPAs within,D1_201807,CG,0.6299634999999999,2018-07-06T20:39:26Z,2018-07-06T20:39:26Z,6,2018-07-07,Saturday
805355546.180707024358_sel16_S9.wav,180707000000,S9,130.229753,186,114.6398617,1,1,5,0,38,0,45,0,1,1,1,1,2018-07-07,9,Spectrogram 1,1,127621.781006645,128606.394143872,239.044,7470.12,2018-07-08,14:10:54,14:27:18,984.6131,Maneuver+Transit,NA,D1_201807,CG,0.2735036388888889,2018-07-08T04:10:54Z,2018-07-08T04:10:54Z,14,2018-07-08,Sunday
805355546.180711024316_sel06_S28.wav,180711000000,S28,123.2129403,95,110.5213701,1,1,9,0,50,0,38,14,1,1,0.7307692307692307,1,2018-07-11,28,Spectrogram 1,1,128106.394104532,133050.678791575,159,6004,2018-07-12,14:18:16,15:40:39,4944.2847,Maneuver+Transit,on/off,D1_201807,CG,1.3734124166666668,2018-07-12T04:18:16Z,2018-07-12T04:18:16Z,14,2018-07-12,Thursday
805355546.180713024252_sel03_S3.wav,180713000000,S3,120.8618138,203,113.3410149,1,1,6,0,42,0,47,0,1,1,1,1,2018-07-13,3,Spectrogram 1,1,17669.474435949,18435.065681965,79.7,6772.9,2018-07-13,07:37:21,07:50:07,765.5912,Maneuver+Transit,NA,D1_201807,CG,0.2126642222222222,2018-07-12T21:37:21Z,2018-07-12T21:37:21Z,7,2018-07-13,Friday
805355546.180715024234_sel04_S15.wav,180715000000,S15,114.5721057,417,102.2004182,1,1,21,0,75,4,0,65,1,0.9493670886075949,0,0.96,2018-07-15,15,Spectrogram 1,1,25097.350357284,25856.503629091,0,7290.8,2018-07-15,09:40:49,09:53:28,759.1533,Maneuver+Transit,NA,D1_201807,CG,0.21087591666666666,2018-07-14T23:40:49Z,2018-07-14T23:40:49Z,9,2018-07-15,Sunday
805355546.180715024234_sel14_S31.wav,180715000000,S31,120.528493,222,103.0107676,1,1,19,0,76,0,1,63,1,1,0.015625,1,2018-07-15,31,Spectrogram 1,1,105686.204374909,108233.959820696,438.2,9282.9,2018-07-16,08:03:55,08:46:22,2547.7554,Maneuver+Transit,on/off,D1_201807,CG,0.7077098333333334,2018-07-15T22:03:55Z,2018-07-15T22:03:55Z,8,2018-07-16,Monday
805355546.180717024218_sel04_S30.wav,180717000000,S30,121.0686704,1240,101.076022,1,1,23,0,73,11,0,59,1,0.8690476190476191,0,0.897196261682243,2018-07-17,30,Spectrogram 1,1,129701.248137926,130040.094851536,0,7490,2018-07-18,16:23:12,16:28:51,338.8467,Maneuver+Transit,NA,D1_201807,CG,0.09412408333333333,2018-07-18T06:23:12Z,2018-07-18T06:23:12Z,16,2018-07-18,Wednesday
805355546.180721024142_sel16_S2.wav,180721000000,S2,136.5167745,60,131.8115046,1,1,1,0,8,0,15,0,1,1,1,1,2018-07-21,2,Spectrogram 1,1,24682.934301369,25914.948888564,0,9422.3,2018-07-21,09:33:04,09:53:36,1232.0146,Maneuver+Transit,NA,D1_201807,CG,0.34222627777777775,2018-07-20T23:33:04Z,2018-07-20T23:33:04Z,9,2018-07-21,Saturday
805355546.180802023946_sel02_S26.wav,180802000000,S26,119.0498878,189,111.5363628,1,1,8,0,47,0,42,8,1,1,0.84,1,2018-08-02,26,Spectrogram 1,1,223414.335750289,223993.620411025,139.4,9800.8,2018-08-04,16:43:08,16:52:47,579.2847,Maneuver+Transit,NA,D1_201807,CG,0.16091241666666667,2018-08-04T06:43:08Z,2018-08-04T06:43:08Z,16,2018-08-04,Saturday
805355546.180705024418_sel05_S1.wav,180705000000,S1,110.8641795,316,98.99585886,1,1,27,0,68,23,0,47,1,0.7472527472527473,0,0.8050847457627118,2018-07-05,1,Spectrogram 1,1,13864.072981813,14449.445244891,139.442,5996.016,2018-07-05,06:35:22,06:45:07,585.3723,Transit,NA,D1_201807,CG,0.16260341666666667,2018-07-04T20:35:22Z,2018-07-04T20:35:22Z,6,2018-07-05,Thursday
805355546.180707024358_sel01_S4.wav,180707000000,S4,118.7238217,929,102.6213842,1,1,20,0,76,2,0,64,1,0.9743589743589743,0,0.9795918367346939,2018-07-07,4,Spectrogram 1,1,18704.496341743,19096.42334118,0,6831.7,2018-07-07,07:55:42,08:02:14,391.927,Transit,NA,D1_201807,CG,0.10886861111111111,2018-07-06T21:55:42Z,2018-07-06T21:55:42Z,7,2018-07-07,Saturday
805355546.180717024218_sel21_S18.wav,180717000000,S18,109.3410803,795,100.9009226,1,1,24,0,72,12,0,58,1,0.8571428571428571,0,0.8888888888888888,2018-07-17,18,Spectrogram 1,1,105840.912394754,108995.051069069,0,3804.8,2018-07-18,09:45:33,10:38:07,3154.1387,Transit,on/off,D1_201807,CG,0.8761496388888889,2018-07-17T23:45:33Z,2018-07-17T23:45:33Z,9,2018-07-18,Wednesday
