"","Site_ID","Dep","Begin_Date_loc","Behav","N_ves"
"48","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-14,"Total",1
"49","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-15,"Transit",0
"50","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-15,"Maneuver",0
"51","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-15,"Total",0
"52","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-16,"Transit",0
"53","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-16,"Maneuver",0
"54","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-16,"Total",0
"55","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-17,"Transit",1
"56","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-17,"Maneuver",0
"57","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-17,"Total",1
"58","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-18,"Transit",0
"59","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-18,"Maneuver",0
"60","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-18,"Total",0
"61","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-19,"Transit",0
"62","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-19,"Maneuver",0
"63","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-19,"Total",0
"64","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-20,"Transit",0
"65","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-20,"Maneuver",0
"66","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-20,"Total",0
"67","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-21,"Transit",1
"68","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-21,"Maneuver",0
"69","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-21,"Total",1
"70","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-22,"Transit",0
"71","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-22,"Maneuver",0
"72","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-22,"Total",0
"73","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-23,"Transit",0
"74","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-23,"Maneuver",0
"75","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-23,"Total",0
"76","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-24,"Transit",0
"77","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-24,"Maneuver",0
"78","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-24,"Total",0
"79","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-25,"Transit",0
"80","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-25,"Maneuver",0
"81","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-25,"Total",0
"82","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-26,"Transit",0
"83","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-26,"Maneuver",0
"84","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-26,"Total",0
"85","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-27,"Transit",2
"86","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-27,"Maneuver",0
"87","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-27,"Total",2
"88","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-28,"Transit",0
"89","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-28,"Maneuver",0
"90","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-28,"Total",0
"91","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-29,"Transit",0
"92","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-29,"Maneuver",0
"93","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-29,"Total",0
"94","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-30,"Transit",0
"95","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-30,"Maneuver",0
"96","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-30,"Total",0
"97","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-31,"Transit",0
"98","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-31,"Maneuver",0
"99","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-05-31,"Total",0
"100","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-01,"Transit",0
"101","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-01,"Maneuver",0
"102","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-01,"Total",0
"103","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-02,"Transit",0
"104","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-02,"Maneuver",0
"105","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-02,"Total",0
"106","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-03,"Transit",0
"107","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-03,"Maneuver",0
"108","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-03,"Total",0
"109","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-04,"Transit",0
"110","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-04,"Maneuver",0
"111","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-04,"Total",0
"112","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-05,"Transit",0
"113","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-05,"Maneuver",0
"114","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-05,"Total",0
"115","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-06,"Transit",1
"116","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-06,"Maneuver",0
"117","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-06,"Total",1
"118","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-07,"Transit",0
"119","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-07,"Maneuver",0
"120","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-07,"Total",0
"121","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-08,"Transit",0
"122","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-08,"Maneuver",0
"123","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-08,"Total",0
"124","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-09,"Transit",0
"125","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-09,"Maneuver",0
"126","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-09,"Total",0
"127","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-10,"Transit",0
"128","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-10,"Maneuver",0
"129","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-10,"Total",0
"130","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-11,"Transit",0
"131","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-11,"Maneuver",0
"132","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-11,"Total",0
"133","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-12,"Transit",0
"134","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-12,"Maneuver",0
"135","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-12,"Total",0
"136","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-13,"Transit",0
"137","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-13,"Maneuver",0
"138","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-13,"Total",0
"139","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2024-06-14,"Transit",0
