"","Site_ID","Dep","Begin_Hour_loc","Behav","N_ves"
"34","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",11,"Transit",1
"35","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",11,"Maneuver",0
"36","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",11,"Total",1
"37","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",12,"Transit",1
"38","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",12,"Maneuver",0
"39","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",12,"Total",1
"40","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",13,"Transit",2
"41","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",13,"Maneuver",0
"42","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",13,"Total",2
"43","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",14,"Transit",1
"44","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",14,"Maneuver",0
"45","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",14,"Total",1
"46","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",15,"Transit",0
"47","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",15,"Maneuver",0
"48","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",15,"Total",0
"49","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",16,"Transit",0
"50","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",16,"Maneuver",0
"51","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",16,"Total",0
"52","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",17,"Transit",0
"53","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",17,"Maneuver",0
"54","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",17,"Total",0
"55","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",18,"Transit",1
"56","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",18,"Maneuver",0
"57","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",18,"Total",1
"58","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",19,"Transit",0
"59","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",19,"Maneuver",0
"60","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",19,"Total",0
"61","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",20,"Transit",1
"62","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",20,"Maneuver",0
"63","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",20,"Total",1
"64","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",21,"Transit",0
"65","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",21,"Maneuver",0
"66","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",21,"Total",0
"67","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",22,"Transit",0
"68","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",22,"Maneuver",0
"69","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",22,"Total",0
"70","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",23,"Transit",1
"71","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",23,"Maneuver",0
"72","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",23,"Total",1
"73","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",0,"Transit",0
"74","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",0,"Maneuver",0
"75","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",0,"Total",0
"76","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",1,"Transit",0
"77","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",1,"Maneuver",0
"78","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",1,"Total",0
"79","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",2,"Transit",0
"80","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",2,"Maneuver",0
"81","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",2,"Total",0
"82","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",3,"Transit",0
"83","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",3,"Maneuver",0
"84","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",3,"Total",0
"85","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",4,"Transit",0
"86","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",4,"Maneuver",0
"87","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",4,"Total",0
"88","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",5,"Transit",1
"89","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",5,"Maneuver",0
"90","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",5,"Total",1
"91","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",6,"Transit",0
"92","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",6,"Maneuver",0
"93","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",6,"Total",0
"94","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",7,"Transit",1
"95","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",7,"Maneuver",0
"96","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",7,"Total",1
"97","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",8,"Transit",0
"98","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",8,"Maneuver",0
"99","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",8,"Total",0
"100","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",9,"Transit",1
"101","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",9,"Maneuver",0
"102","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",9,"Total",1
"103","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",10,"Transit",1
"104","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",10,"Maneuver",0
"105","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",10,"Total",1
"106","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",11,"Transit",3
"107","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",11,"Maneuver",0
"108","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",11,"Total",3
"109","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",12,"Transit",1
"110","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",12,"Maneuver",0
"111","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",12,"Total",1
"112","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",13,"Transit",0
"113","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",13,"Maneuver",0
"114","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",13,"Total",0
"115","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",14,"Transit",1
"116","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",14,"Maneuver",0
"117","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",14,"Total",1
"118","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",15,"Transit",0
"119","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",15,"Maneuver",0
"120","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",15,"Total",0
"121","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",16,"Transit",1
"122","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",16,"Maneuver",0
"123","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",16,"Total",1
"124","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",17,"Transit",0
"125","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",17,"Maneuver",0
"126","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",17,"Total",0
"127","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",18,"Transit",0
"128","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",18,"Maneuver",0
"129","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",18,"Total",0
"130","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",19,"Transit",1
"131","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",19,"Maneuver",0
"132","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",19,"Total",1
"133","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",20,"Transit",0
"134","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",20,"Maneuver",0
"135","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",20,"Total",0
"136","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",21,"Transit",0
"137","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",21,"Maneuver",0
"138","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",21,"Total",0
"139","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",22,"Transit",0
"140","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",22,"Maneuver",0
"141","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",22,"Total",0
"142","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",23,"Transit",0
"143","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",23,"Maneuver",0
"144","CEN","PARKSAUSTRALIA_CEMP_202404_CEN",23,"Total",0
