"PeakFreq","PeakLev","RMS","Filename","Distance","Calibration","FreqMin","FreqMax"
105,72.7961604916882,101.298584436243,"8035.240503042613_sel01_S1.wav",NA,-176.6,100,1000
484,71.2738517294954,101.622690846743,"8035.240503042613_sel02_S1.wav",NA,-176.6,100,1000
109,71.4933737560338,108.295762593138,"8035.240503042613_sel03_S2.wav",NA,-176.6,100,1000
100,70.2652121432209,106.048221991892,"8035.240504025602_sel01_S2.wav",NA,-176.6,100,1000
156,75.5031956628874,99.8928468751865,"8035.240504025602_sel02_S3.wav",NA,-176.6,100,1000
359,75.0381205408215,101.46431366903,"8035.240505012552_sel01_S1.wav",NA,-176.6,100,1000
269,77.7802993918446,102.524930316107,"8035.240514012414_sel01_S1.wav",NA,-176.6,100,1000
103,68.588161530177,102.455077435105,"8035.240517012341_sel01_S1.wav",NA,-176.6,100,1000
104,73.1450029151154,100.547742621979,"8035.240517012341_sel02_S1.wav",NA,-176.6,100,1000
164,74.9122830001937,98.3905231799521,"8035.240526012157_sel01_S1.wav",NA,-176.6,100,1000
126,75.275888448864,99.7061998877076,"8035.240622011651_sel01_S1.wav",NA,-176.6,100,1000
134,75.4154258925043,100.048265290438,"8035.240622011651_sel02_S1.wav",NA,-176.6,100,1000
118,72.5818815608821,100.884258037266,"8035.240622011651_sel03_S2.wav",NA,-176.6,100,1000
138,76.060613930927,103.974410269768,"8035.240623041638_sel01_S1.wav",NA,-176.6,100,1000
138,74.2502513755585,106.580811814287,"8035.240623041638_sel02_S1.wav",NA,-176.6,100,1000
142,77.806180896886,104.718629167014,"8035.240623041638_sel03_S1.wav",NA,-176.6,100,1000
150,74.6923307482101,105.731068531706,"8035.240623041638_sel04_S1.wav",NA,-176.6,100,1000
157,76.0603806978964,100.60542813162,"8035.240625011615_sel01_S1.wav",NA,-176.6,100,1000
