"","Site_ID","Behavior","mean_dur_h","med_dur_h","min_dur_h","max_dur_h"
"1","BRE","Maneuver",4.2080552037037,4.7666185,1.60358038888889,6.25396672222222
"2","BRE","Transit",1.07385678703704,1.19653266666667,0.821966083333333,1.20307161111111
"3","BRE","Total",2.64095599537037,1.403326,0.821966083333333,6.25396672222222
"4","BRW","Maneuver",3.07478296604938,1.2844175,0.610194722222222,15.88991625
"5","BRW","Transit",2.1972095625,1.56117845833333,0.262305277777778,8.77983372222222
"6","BRW","Total",3.11379295410628,1.94159958333333,0.379346722222222,17.9754596388889
