Filename,Date,Selection,RMS,PeakFreq,PeakLev,Verified,used,...9,ins_sm,out_sm,ins_med,out_med,ins_lg,out_lg,pins_sm,pins_med,pins_lg,pins_ovrll,begin_file_date,seln_num,View,Channel,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_Date,Begin_Clock,End_Clock,Delta_Time_s,Behavior,Notes,Dep,Site_ID,DeltaHours,Hr_time,Hr_local,Begin_Hour_loc,Begin_Date_loc,Weekday
805830683.180810080955_sel17_S8.wav,180810000000,S8,109.6707697,223,92.88394895,1,1,NA,55,0,1,93,0,0,1,0.010638297872340425,NA,0.37583892617449666,2018-08-10,8,Spectrogram 1,1,12149.97173741,12306.806251632,442.177,7925.2,2018-08-10,11:32:24,11:35:01,156.8345,Maneuver+TransitA,NA,D1_201808,EP,0.04356513888888889,2018-08-10T01:32:24Z,2018-08-10T01:32:24Z,11,2018-08-10,Friday
805830683.180810080955_sel20_S9.wav,180810000000,S9,109.1677047,295,92.62696526,1,1,NA,56,0,0,93,0,0,1,0,NA,0.37583892617449666,2018-08-10,9,Spectrogram 1,1,14575.048766362,14720.036547866,562.13,3339.4,2018-08-10,12:12:50,12:15:15,144.9878,Maneuver+TransitA,NA,D1_201808,EP,0.04027438888888889,2018-08-10T02:12:50Z,2018-08-10T02:12:50Z,12,2018-08-10,Friday
805830683.180814020855_sel08_S10.wav,180814000000,S10,116.0055694,243,105.8428883,1,1,NA,20,0,40,29,0,51,1,0.5797101449275363,0,0.6741573033707865,2018-08-14,10,Spectrogram 1,1,37145.829261484,37761.654438399,0,8520.7,2018-08-14,12:28:00,12:38:16,615.8252,Maneuver+Transit,NA,D1_201808,EP,0.17106255555555555,2018-08-14T02:28:00Z,2018-08-14T02:28:00Z,12,2018-08-14,Tuesday
805830683.180814020855_sel05_S5.wav,180814000000,S5,112.4900634,143,102.1977137,1,1,NA,29,0,31,47,0,46,1,0.3974358974358974,0,0.5607476635514018,2018-08-14,5,Spectrogram 1,1,27402.926821985,27473.341459671,87.719,9541.1,2018-08-14,09:45:37,09:46:47,70.4146,Transit,NA,D1_201808,EP,0.019559611111111107,2018-08-13T23:45:37Z,2018-08-13T23:45:37Z,9,2018-08-14,Tuesday
805830683.180816020834_sel01_S1.wav,180816000000,S1,129.434753,161,113.6472939,1,1,NA,9,0,48,0,4,40,1,1,0.09090909090909091,1,2018-08-16,1,Spectrogram 1,1,36891.073157182,38703.759966935,0,10135.5,2018-08-16,12:23:23,12:53:35,1812.6868,Transit,NA,D1_201808,EP,0.5035241111111111,2018-08-16T02:23:23Z,2018-08-16T02:23:23Z,12,2018-08-16,Thursday
805830683.180817020824_sel04_S5.wav,180817000000,S5,113.5722722,138,102.9514149,1,1,NA,27,0,33,43,0,50,1,0.4342105263157895,0,0.5825242718446602,2018-08-17,5,Spectrogram 1,1,58987.317066074,62684.088778193,0,7305.4,2018-08-17,18:31:29,19:33:06,3696.7717,Maneuver+TransitA,on/off,D1_201808,EP,1.0268810277777778,2018-08-17T08:31:29Z,2018-08-17T08:31:29Z,18,2018-08-17,Friday
805830683.180818020816_sel09_S12.wav,180818000000,S12,110.0508397,218,90.39214519,1,1,NA,54,9,0,84,0,0,0.8571428571428571,0,NA,0.3673469387755102,2018-08-18,12,Spectrogram 1,1,32589.926820596,32703.658520139,538.9,9161.7,2018-08-18,11:11:25,11:13:18,113.7317,Maneuver+TransitA,NA,D1_201808,EP,0.03159213888888889,2018-08-18T01:11:25Z,2018-08-18T01:11:25Z,11,2018-08-18,Saturday
805830683.180818020816_sel13_S16.wav,180818000000,S16,117.5122929,112,108.8133964,1,1,NA,16,0,45,16,0,48,1,0.7377049180327869,0,0.7922077922077922,2018-08-18,16,Spectrogram 1,1,55842.512193056,56193.414628659,59.9,9910.2,2018-08-18,17:38:55,17:44:46,350.9024,Maneuver+Transit,on/off,D1_201808,EP,0.09747288888888889,2018-08-18T07:38:55Z,2018-08-18T07:38:55Z,17,2018-08-18,Saturday
805830683.180818020816_sel16_S18.wav,180818000000,S18,118.8129405,73,98.42698384,1,1,NA,38,0,21,66,0,27,1,0.2413793103448276,0,0.472,2018-08-18,18,Spectrogram 1,1,58424.170715566,58455.048760772,0,8802.4,2018-08-18,18:21:57,18:22:28,30.878,Maneuver+Transit,NA,D1_201808,EP,0.008577222222222222,2018-08-18T08:21:57Z,2018-08-18T08:21:57Z,18,2018-08-18,Saturday
805830683.180818020816_sel21_S20.wav,180818000000,S20,122.9306439,249,110.8936569,1,1,NA,12,0,49,7,0,46,1,0.875,0,0.8970588235294118,2018-08-18,20,Spectrogram 1,1,26805.446303224,27965.001060097,54.645,9371.585,2018-08-18,09:35:00,09:54:20,1159.5548,Maneuver+Transit,on/off,D1_201808,EP,0.3220985555555555,2018-08-17T23:35:00Z,2018-08-17T23:35:00Z,9,2018-08-18,Saturday
805830683.180818020816_sel03_S4.wav,180818000000,S4,111.1755631,232,90.13316844,1,1,NA,53,10,0,83,0,0,0.8412698412698413,0,NA,0.363013698630137,2018-08-18,4,Spectrogram 1,1,23611.609742022,23983.609736467,239.5,6257.5,2018-08-18,08:41:46,08:47:58,372,Maneuver+TransitA,NA,D1_201808,EP,0.10333333333333333,2018-08-17T22:41:46Z,2018-08-17T22:41:46Z,8,2018-08-18,Saturday
805830683.180824012516_sel02_S4.wav,180824000000,S4,117.6993586,329,95.41962486,1,1,NA,46,0,11,82,0,11,1,0.11827956989247312,0,0.41007194244604317,2018-08-24,4,Spectrogram 1,1,37624.949631845,37990.964009392,207.715,10830.861,2018-08-24,11:52:19,11:58:25,366.0144,Transit,NA,D1_201808,EP,0.10167066666666667,2018-08-24T01:52:19Z,2018-08-24T01:52:19Z,11,2018-08-24,Friday
805830683.180825012506_sel07_S4.wav,180825000000,S4,111.0564905,370,92.81235798,1,1,NA,55,0,1,93,0,0,1,0.010638297872340425,NA,0.37583892617449666,2018-08-25,4,Spectrogram 1,1,36970.280574074,37988.611503963,647.1,9823.5,2018-08-25,11:41:14,11:58:13,1018.3309,Maneuver+TransitA,on/off,D1_201808,EP,0.28286969444444443,2018-08-25T01:41:14Z,2018-08-25T01:41:14Z,11,2018-08-25,Saturday
805830683.180827012446_sel01_S2.wav,180827000000,S2,112.1789171,197,88.57114492,1,1,NA,52,17,0,76,0,0,0.7536231884057971,0,NA,0.3586206896551724,2018-08-27,2,Spectrogram 1,1,21872.740999817,22038.848903144,177.5,9615.4,2018-08-27,07:29:18,07:32:04,166.1079,Maneuver+TransitA,NA,D1_201808,EP,0.04614108333333333,2018-08-26T21:29:18Z,2018-08-26T21:29:18Z,7,2018-08-27,Monday
805830683.180827012446_sel10_S3.wav,180827000000,S3,111.224409,155,95.23165722,1,1,NA,47,0,10,83,0,10,1,0.10752688172043011,0,0.40714285714285714,2018-08-27,3,Spectrogram 1,1,24738.748189981,24909.525167383,0,3017.8,2018-08-27,08:17:04,08:19:55,170.777,Maneuver+TransitA,on/off,D1_201808,EP,0.04743805555555555,2018-08-26T22:17:04Z,2018-08-26T22:17:04Z,8,2018-08-27,Monday
805830683.180828012440_sel01_S4.wav,180828000000,S4,121.8281069,175,112.9232502,1,1,NA,10,0,50,0,1,43,1,1,0.022727272727272728,1,2018-08-28,4,Spectrogram 1,1,53966.992801242,54084.402859596,0,9940.8,2018-08-28,16:24:03,16:26:01,117.4101,Transit,NA,D1_201808,EP,0.032613916666666666,2018-08-28T06:24:03Z,2018-08-28T06:24:03Z,16,2018-08-28,Tuesday
