"PeakFreq","PeakLev","RMS","Filename","Distance","Calibration","FreqMin","FreqMax"
47,109.788038194404,118.621309029961,"5459.241203035408_sel01_S1.wav",NA,-176.6,20,1000
30,106.490589969529,119.823397885687,"5459.241203035408_sel02_S2.wav",NA,-176.6,20,1000
58,120.800704972057,125.648407640568,"5459.241214035316_sel01_S1.wav",NA,-176.6,20,1000
108,100.368055431242,115.093379164327,"5459.241228042541_sel01_S1.wav",NA,-176.6,20,1000
189,100.900798373614,111.215790437679,"5459.250103042513_sel01_S1.wav",NA,-176.6,20,1000
35,75.6200535814422,97.886533102481,"5459.250103042513_sel02_S2.wav",NA,-176.6,20,1000
79,83.1276702615727,101.96688396233,"5459.250104042510_sel01_S1.wav",NA,-176.6,20,1000
34,73.8241945900678,98.8092033433039,"5459.250108042453_sel01_S1.wav",NA,-176.6,20,1000
240,94.4808799657624,115.372502831471,"5459.250108042453_sel02_S2.wav",NA,-176.6,20,1000
50,95.158406301596,99.9147502185593,"5459.250108042453_sel03_S3.wav",NA,-176.6,20,1000
78,86.7524633628558,100.18590775237,"5459.250108042453_sel04_S3.wav",NA,-176.6,20,1000
224,70.2938945176618,92.7769721388551,"5459.250108042453_sel05_S4.wav",NA,-176.6,20,1000
32,69.8580918755448,94.1356049378127,"5459.250108042453_sel06_S5.wav",NA,-176.6,20,1000
30,71.013170232262,94.6330465105872,"5459.250108042453_sel07_S5.wav",NA,-176.6,20,1000
814,72.6448693216124,94.849978139346,"5459.250108042453_sel08_S6.wav",NA,-176.6,20,1000
50,73.8596578516415,93.155672669479,"5459.250108042453_sel09_S7.wav",NA,-176.6,20,1000
63,77.3579565369972,96.1907866236444,"5459.250108042453_sel10_S8.wav",NA,-176.6,20,1000
120,74.5554018077326,96.0641650412452,"5459.250108042453_sel11_S9.wav",NA,-176.6,20,1000
34,98.0261602625192,109.085032988849,"5459.250109042450_sel01_S1.wav",NA,-176.6,20,1000
