"PeakFreq","PeakLev","RMS","Filename","Distance","Calibration","FreqMin","FreqMax"
491,87.3897949427237,105.082051236599,"8039.240501055630_sel.01_S1.wav",NA,-177.1,100,1000
121,99.0309263703394,117.705918719468,"8039.240513055414.clips.selections_sel01_S1.wav",NA,-177.1,100,1000
103,94.8327934365685,118.780759676076,"8039.240517055328.clips.selections_sel01_S1.wav",NA,-177.1,100,1000
146,83.328317765784,105.224397902104,"8039.240520055250_sel01_S1.wav",NA,-177.1,100,1000
120,99.882308884768,117.251882957112,"8039.240526055142_sel01_S2.wav",NA,-177.1,100,1000
163,82.3839894376582,101.501470556458,"8039.240526055142_sel02_S1.wav",NA,-177.1,100,1000
133,75.2880686026773,101.110363527075,"8039.240526055142_sel03_S1.wav",NA,-177.1,100,1000
362,71.6903797924903,102.300113008658,"8039.240605054940.clips.selections_sel01_S1.wav",NA,-177.1,100,1000
363,74.6375425652877,101.978646060314,"8039.240605054940.clips.selections_sel02_S1.wav",NA,-177.1,100,1000
361,70.9734764941264,100.649637543444,"8039.240605054940.clips.selections_sel03_S1.wav",NA,-177.1,100,1000
362,70.0627444156767,99.8080397981243,"8039.240605054940.clips.selections_sel04_S1.wav",NA,-177.1,100,1000
114,68.8087671886692,106.311005587363,"8039.240614054755.clips.selections_sel01_S1.wav",NA,-177.1,100,1000
101,71.5493258627872,96.1577792903256,"8039.240619054655_sel.01_S1.wav",NA,-177.1,100,1000
111,75.1431150078076,107.789853708402,"8039.240623054608_sel.01_S1.wav",NA,-177.1,100,1000
104,70.4030660738539,108.302766529022,"8039.240623054608_sel.02_S1.wav",NA,-177.1,100,1000
140,78.5138122107698,95.4343516900021,"8039.240624054556_sel.01_S1.wav",NA,-177.1,100,1000
197,90.4560971847753,101.389933695685,"8039.240625054543_sel.01_S1.wav",NA,-177.1,100,1000
